 
 
 
 
 
 
                         MATH/LIBRARY ROUTINE LIST
 
 
Routine      Library      Diskette       Routine      Library      Diskette
DLFIRB   DMATH1A            22           DLINDS   DMATH1A            22
LFIRG    SMATH1A             3           LINRG    SMATH1A             3
DLFIRG   DMATH1A            22           DLINRG   DMATH1A            22
LFISF    SMATH1A             3           LINRT    SMATH1A             3
DLFISF   DMATH1A            22           DLINRT   DMATH1A            22
LFSCB    SMATH1B             4           LQERR    SMATH1C             5
DLFSCB   DMATH1B            23           DLQERR   DMATH1C            24
LFSCG    SMATH1B             4           LQRRR    SMATH1C             5
DLFSCG   DMATH1B            23           DLQRRR   DMATH1C            24
LFSDH    SMATH1B             4           LQRSL    SMATH1C             5
DLFSDH   DMATH1B            23           DLQRSL   DMATH1C            24
LFSDS    SMATH1A             3           LSACB    SMATH1B             4
DLFSDS   DMATH1A            22           DLSACB   DMATH1B            23
LFSHF    SMATH1B             4           LSACG    SMATH1B             4
DLFSHF   DMATH1B            23           DLSACG   DMATH1B            23
LFSQH    SMATH1B             4           LSADH    SMATH1B             4
DLFSQH   DMATH1B            23           DLSADH   DMATH1B            23
LFSQS    SMATH1A             3           LSADS    SMATH1A             3
DLFSQS   DMATH1A            22           DLSADS   DMATH1A            22
LFSRB    SMATH1A             3           LSAHF    SMATH1B             4
DLFSRB   DMATH1A            22           DLSAHF   DMATH1B            23
LFSRG    SMATH1A             3           LSAQH    SMATH1B             4
DLFSRG   DMATH1A            22           DLSAQH   DMATH1B            23
LFSSF    SMATH1A             3           LSAQS    SMATH1A             3
DLFSSF   DMATH1A            22           DLSAQS   DMATH1A            22
LFTCB    SMATH1B             4           LSARB    SMATH1A             3
DLFTCB   DMATH1B            23           DLSARB   DMATH1A            22
 
 
 
                                      19
 
 
 
 
 
 
 
 
 
Routine      Library      Diskette       Routine      Library      Diskette
-------      -------      --------       -------      -------      --------
 
LSARG    SMATH1A             3           IDMAX    BLAS                2
DLSARG   DMATH1A            22           MCRCR    SMATH9             20
LSASF    SMATH1A             3           DMCRCR   DMATH9             39
DLSASF   DMATH1A            22           IIMIN    BLAS                2
LSBRR    SMATH1C             5           ISMIN    BLAS                2
DLSBRR   DMATH1C            24           IDMIN    BLAS                2
LSGRR    SMATH1C             5           MOLCH    SMATH5B            14
DLSGRR   DMATH1C            24           DMOLCH   DMATH5B            33
LSLCB    SMATH1B             4           MRRRR    SMATH9             20
DLSLCB   DMATH1B            23           DMRRRR   DMATH9             39
LSLCC    SMATH1B             4           MUCBV    SMATH9             20
